,nodes,ntasks_per_node,filesystem.name,filesystem.mountpoint,stonewall,iters,time,ior_api,ior-easy-write,mdtest-easy-write,ior-hard-write,mdtest-hard-write,find,ior-easy-read,mdtest-easy-stat,ior-hard-read,mdtest-hard-stat,mdtest-easy-delete,mdtest-hard-read,mdtest-hard-delete,bandwidth-score,iops-score,total-score
69,2,1,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,POSIX,2.201168,1.043688,0.020932,0.533336,350.213511,2.98754,6.50272,0.153639,8.252768,3.729141,4.630737,2.317413,0.381348,5.043508,1.386842
70,2,1,panasas,/gws/pw/j07/perf_testing3,300,1,4:0:0,POSIX,2.207229,1.046032,0.02085,0.537699,348.651963,2.9633,8.219475,0.150486,8.423468,3.586785,4.576999,2.573367,0.378491,5.245959,1.409095
71,2,1,panasas,/gws/pw/j07/perf_testing3,300,2,4:0:0,POSIX,2.160178,1.05429,0.020727,0.531976,331.859907,2.957834,7.034758,0.149952,7.841041,3.752756,5.11527,2.522245,0.375393,5.152933,1.390819
72,2,1,pure,/work/stackhpc-pure/,300,0,4:0:0,POSIX,2.171984,2.068177,0.272057,1.201283,0.850731,3.106235,15.09522,0.171257,15.103947,1.874802,2.743101,1.350116,0.748772,2.757817,1.437002
73,2,1,pure,/work/stackhpc-pure/,300,1,4:0:0,POSIX,2.160216,2.118072,0.426957,1.197964,0.591685,2.590259,14.877456,0.173457,15.207098,1.810875,2.754783,1.28579,0.802332,2.613813,1.448153
74,2,1,pure,/work/stackhpc-pure/,300,2,4:0:0,POSIX,2.017884,2.10058,0.302578,1.201452,0.60645,2.907641,15.040649,0.19208,15.328521,1.880617,2.897232,1.29846,0.764169,2.658673,1.425368
75,2,16,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,POSIX,7.233731,4.657176,0.020769,1.019459,595.861981,7.868163,51.875009,0.059594,8.649795,8.527642,8.259324,2.485923,0.515185,11.049889,2.385945
76,2,16,panasas,/gws/pw/j07/perf_testing3,300,1,4:0:0,POSIX,7.310386,4.810563,0.019935,1.02137,651.313419,8.587102,51.01885,0.04854,8.086251,8.459826,7.538602,2.622164,0.496449,11.040656,2.34118
77,2,16,pure,/work/stackhpc-pure/,300,0,4:0:0,POSIX,2.595501,25.132121,0.28978,1.964184,7.313033,3.018315,81.833119,1.077382,14.39433,31.787282,9.613366,1.944705,1.250565,11.228623,3.747282
78,2,16,pure,/work/stackhpc-pure/,300,1,4:0:0,POSIX,2.762544,24.665008,0.261926,1.914986,8.115696,3.008117,79.173187,1.0974,14.462355,31.203527,9.560173,1.916181,1.243188,11.218557,3.734538
79,2,16,pure,/work/stackhpc-pure/,300,2,4:0:0,POSIX,2.869526,24.642676,0.282975,1.91828,7.533726,3.080937,79.613121,1.114669,14.30925,31.494057,23.894896,1.942381,1.292251,12.492085,4.017823
80,1,32,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,0,4:0:0,POSIX,0.899651,2.346563,0.000485,0.138626,331.024851,1.068469,50.6436,0.038423,57.311955,5.846134,0.414894,0.310745,0.065073,4.693691,0.552658
81,1,32,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,2,4:0:0,POSIX,0.916172,2.266907,0.000667,0.170412,355.467526,0.810621,28.776977,0.054334,19.373092,4.156937,0.575885,0.226235,0.072018,3.777511,0.521584
82,2,16,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,0,4:0:0,POSIX,2.748111,3.510227,0.000317,0.144827,556.945446,2.142718,46.46312,0.032182,9.235172,6.470026,0.400211,0.505257,0.088037,4.468455,0.627206
83,2,16,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,1,4:0:0,POSIX,2.071561,2.092795,0.000303,0.11781,521.847515,2.07145,40.175554,0.035004,9.379494,6.297918,0.250376,0.360406,0.082119,3.589403,0.542916
84,2,16,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,2,4:0:0,POSIX,,,,,,,,,,,,,,,
85,1,2,pure,/work/stackhpc-pure/,300,0,4:0:0,MPIIO,0.279938,2.18868,0.007322,0.815697,2.342264,0.173349,16.91629,0.01515,15.057934,1.613593,5.165921,0.852647,0.048168,3.054155,0.383554
86,1,2,pure,/work/stackhpc-pure/,300,1,4:0:0,MPIIO,0.275523,1.518562,0.007569,0.706976,2.227873,0.187644,17.378267,0.01562,15.051403,1.612229,5.264072,0.78261,0.049722,2.833516,0.375352
87,1,2,pure,/work/stackhpc-pure/,300,2,4:0:0,MPIIO,0.274451,1.523276,0.007785,0.709789,2.243671,0.186238,16.183769,0.016217,16.62457,1.635802,5.071098,0.855154,0.050402,2.872082,0.38047
88,1,16,pure,/work/stackhpc-pure/,300,0,4:0:0,MPIIO,1.37256,12.375658,0.00688,1.04005,8.055887,0.245958,39.484287,0.018375,38.992317,15.439389,17.432744,1.243463,0.080826,9.246365,0.86449
89,1,16,pure,/work/stackhpc-pure/,300,1,4:0:0,MPIIO,1.423649,12.572208,0.006884,1.042073,8.610223,0.245715,40.901923,0.018694,41.276039,15.717778,17.702113,1.187507,0.081913,9.437398,0.879231
90,1,16,pure,/work/stackhpc-pure/,300,2,4:0:0,MPIIO,1.287539,11.924677,0.007017,1.040516,8.552887,0.243322,41.956698,0.019484,41.106573,14.983421,17.194192,1.257965,0.0809,9.368019,0.870556
91,2,16,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,MPIIO,7.351721,4.756073,0.020559,1.008599,632.985435,8.962152,53.569572,0.061804,13.023576,8.851324,8.315778,2.315459,0.537904,11.740719,2.513042
92,2,16,panasas,/gws/pw/j07/perf_testing3,300,2,4:0:0,MPIIO,4.22835,4.727207,0.020986,1.001521,584.127551,3.180141,50.2234,0.059587,8.671895,8.917109,7.926222,2.214693,0.360102,10.824916,1.974355
93,2,2,pure,/work/stackhpc-pure/,300,0,4:0:0,MPIIO,0.552819,3.702766,0.008222,1.591234,2.131518,0.366482,28.405858,0.028304,15.322947,3.81089,9.483665,1.630289,0.082865,4.880854,0.635966
94,2,2,pure,/work/stackhpc-pure/,300,1,4:0:0,MPIIO,0.555706,3.59948,0.008321,1.583699,1.873585,0.379994,27.197317,0.02766,15.416351,3.901448,9.272291,1.586953,0.083495,4.745247,0.629449
95,2,2,pure,/work/stackhpc-pure/,300,2,4:0:0,MPIIO,0.553672,3.616955,0.008812,1.583407,2.212096,0.372721,27.760752,0.026507,15.537543,3.851803,9.598118,1.613904,0.083324,4.888326,0.638213
96,2,16,pure,/work/stackhpc-pure/,300,0,4:0:0,MPIIO,2.381705,23.671036,0.008248,1.763331,6.616669,0.411497,78.365362,0.037017,14.556539,30.919412,33.300811,1.956097,0.131522,12.598133,1.287218
97,2,16,pure,/work/stackhpc-pure/,300,1,4:0:0,MPIIO,2.531764,22.662142,0.008626,1.672628,6.474966,0.409967,78.994112,0.035927,13.85382,30.994573,33.593741,1.917792,0.13392,12.336187,1.285328
98,2,16,pure,/work/stackhpc-pure/,300,2,4:0:0,MPIIO,2.50078,21.118712,0.008603,1.552029,7.438686,0.409826,78.185938,0.037249,14.621214,30.966704,33.952246,1.965119,0.134619,12.446321,1.294416
99,10,2,pure,/work/stackhpc-pure/,300,0,4:0:0,POSIX,2.523238,19.340158,0.347203,2.805544,1.816685,13.429276,106.414496,0.603666,59.407404,18.128657,23.094967,2.316518,1.63248,12.521737,4.521226
100,10,16,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,POSIX,18.418785,5.78705,0.062363,2.761078,356.193643,11.240757,51.044282,0.129426,35.040229,6.575049,13.353348,2.512806,1.136975,14.75445,4.095783
101,10,16,pure,/work/stackhpc-pure/,300,0,4:0:0,POSIX,0.818134,82.021362,0.218962,2.417159,10.948285,5.586725,298.259822,1.648238,58.354719,81.096517,39.274587,2.49988,1.133294,27.213554,5.553464
102,10,2,pure,/work/stackhpc-pure/,300,1,4:0:0,POSIX,1.878575,19.51719,0.327963,2.618164,1.914838,10.752762,59.416359,0.399177,35.990322,15.479998,14.160769,2.090995,1.275219,9.947893,3.561704
103,10,2,pure,/work/stackhpc-pure/,300,2,4:0:0,POSIX,0.706425,19.03769,0.32277,2.650677,1.935707,5.509488,99.259327,0.330948,54.943346,19.36976,21.026184,2.444399,0.802986,12.318823,3.145129
