,vendor,nodes,threads,obj_size,operation,Throughput (GiB/s),kIOPS
244,caringo,2,50,100MiB,get,3.03130859375,0.031039999999999998
245,caringo,2,50,100MiB,put,1.1241015625,0.01151
246,caringo,2,50,1GiB,get,2.97810546875,0.00298
247,caringo,2,50,1GiB,put,1.509619140625,0.00151
248,caringo,2,100,10KiB,get,0.0533984375,5.59904
249,caringo,2,100,10KiB,put,0.006240234375,0.65427
250,caringo,2,100,10MiB,get,5.457822265625,0.55888
251,caringo,2,100,10MiB,put,1.282353515625,0.13131
252,caringo,2,100,100MiB,get,5.22578125,0.053509999999999995
253,caringo,2,100,100MiB,put,1.455439453125,0.0149
254,caringo,2,100,1GiB,get,5.08861328125,0.00509
255,caringo,2,100,1GiB,put,1.88421875,0.00188
256,caringo,5,1,10KiB,get,0.002607421875,0.27337
257,caringo,5,1,10KiB,put,0.000478515625,0.05042
258,caringo,5,1,10MiB,get,0.488466796875,0.05002
259,caringo,5,1,10MiB,put,0.11001953125,0.011269999999999999
260,caringo,5,1,100MiB,get,0.144794921875,0.00148
261,caringo,5,1,100MiB,put,0.090224609375,0.00092
262,caringo,5,1,1GiB,get,0.14408203125,0.00014000000000000001
263,caringo,5,1,1GiB,put,0.124150390625,0.00011999999999999999
264,caringo,5,20,10KiB,get,0.03974609375,4.1678500000000005
265,caringo,5,20,10KiB,put,0.00509765625,0.53416
266,caringo,5,20,10MiB,get,4.11404296875,0.42128
267,caringo,5,20,10MiB,put,1.034697265625,0.10595
268,caringo,5,20,100MiB,get,3.159287109375,0.032350000000000004
269,caringo,5,20,100MiB,put,1.124482421875,0.01151
270,caringo,5,20,1GiB,get,3.2223828125,0.00322
271,caringo,5,20,1GiB,put,1.579775390625,0.00158
272,caringo,5,50,10KiB,get,0.061357421875,6.433439999999999
273,caringo,5,50,10KiB,put,0.007392578125,0.77539
274,caringo,5,50,10MiB,get,5.438544921875,0.55691
275,caringo,5,50,10MiB,put,1.399912109375,0.14335
276,caringo,5,50,100MiB,get,5.62904296875,0.057640000000000004
277,caringo,5,50,100MiB,put,1.566884765625,0.01604
278,caringo,5,50,1GiB,get,5.778955078125,0.00578
279,caringo,5,50,1GiB,put,2.144326171875,0.00214
280,caringo,5,100,10KiB,get,0.07431640625,7.79303
281,caringo,5,100,10KiB,put,0.008447265625,0.8857200000000001
282,caringo,5,100,10MiB,get,5.594140625,0.57284
283,caringo,5,100,10MiB,put,1.6709375,0.1711
284,caringo,5,100,100MiB,get,6.656923828125,0.06817000000000001
285,caringo,5,100,100MiB,put,1.7908984375,0.01834
286,caringo,5,100,1GiB,get,,
287,caringo,5,100,1GiB,put,2.53810546875,0.00254
